id,title,original_title,original_language,release_date,release_year,decade,overview,popularity,vote_average,vote_count,origin_country_code,origin_country_name,genre_ids,primary_country,matched_conflict,match_score,matched_keywords,match_source,out_of_scope_category,temporal_check
370680,Persona Non Grata,杉原千畝 スギハラチウネ,ja,2015-12-05,2015,2010,"The story of a Japanese diplomat, sometimes called the Schindler of Japan, and his life lading up to and after his decision to issue over 2,000 visas to Jewish refugees in Kaunas, Lithuania resulting in saving the lives of over 6,000 people. This is the story of a man who believed in doing all he could do for the benefit of his beloved Japan, including trying to keep her from becoming embroiled in a worldwide conflict he saw as inevitable. Along the way, he came face to face with the plight of the European Jews as they tried to escape the onslaught of the Nazi's and the rapidly advancing German army. Caught between the unbending policies of his country now bound by treaty with Nazi Germany and his awakening moral responsibilities, we follow his life from his early days in Manchuria to his eventual posting in Lithuania and his appointment with destiny which would forever brand him a hero.",1.0791,6.813,8,JP,Japan,"[18, 36, 10752]",JP,World War II,2,"['nazi', 'manchuria']",overview,,consistent
371398,The Death of Adolf Hitler,The Death of Adolf Hitler,en,1973-01-07,1973,1970,"The final days in the Bunker, with Hitler becoming more and more paranoid, plumbing the depths of his madness and reaching his well deserved fate.",0.2176,6.6,5,GB,United Kingdom,"[18, 10752]",GB,World War II,1,['hitler'],overview,,consistent
372526,"Adolf Hitler - Ein Volk, ein Reich, ein Führer: Dokumente der Zeitgeschichte","Adolf Hitler - Ein Volk, ein Reich, ein Führer: Dokumente der Zeitgeschichte",de,1953-11-13,1953,1950,"The film begins with the First World War and ends in 1945. Without exception, recordings from this period were used, which came from weekly news reports from different countries. Previously unpublished scenes about the private life of Adolf Hitler and Eva Braun were also shown for the first time. The film was originally built into a frame story. The Off Commentary begins with the words: ""This film [...] is a document of delusion that on the way to power tore an entire people and a whole world into disaster. This film portrays the suffering of a generation that only ended five to twelve. "" The film premiered in Cologne on November 20, 1953, but was immediately banned by Federal Interior Minister Gerhard Schröder in agreement with the interior ministers of the federal states of the Federal Republic of Germany.",0.2615,4.8,5,DE,Germany,"[99, 10752]",DE,World War II,1,['hitler'],overview,,consistent
374720,Dunkirk,Dunkirk,en,2017-07-19,2017,2010,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",11.3904,7.451,17518,US,United States,"[10752, 28, 18]",US,World War II,3,"['world war ii', 'dunkirk', '1940']",overview,,consistent
375012,Under the Shadow,زیر سایه,fa,2016-09-30,2016,2010,"After Shideh's building is hit by a missile during the Iran-Iraq War, a superstitious neighbor suggests that the missile was cursed and might be carrying malevolent Middle-Eastern spirits. She becomes convinced a supernatural force within the building is attempting to possess her daughter Dorsa, and she has no choice but to confront these forces if she is to save her daughter and herself.",1.8355,6.485,724,GB,United Kingdom,"[18, 27, 10752]",GB,Iraq War,1,['iraq war'],overview,,consistent
377813,During One Night,During One Night,en,1961-02-01,1961,1960,"Story of a young U.S. Army officer, stationed in England during World War II, who is suddenly conscious of a desire to ""prove"" himself sexually.",0.2438,5.429,7,"GB,US","United Kingdom,United States","[18, 10749, 10752]",GB,World War II,1,['world war ii'],overview,,consistent
378108,In This Corner of the World,この世界の片隅に,ja,2016-11-12,2016,2010,"Japan, 1943, during World War II. Young Suzu leaves her village near Hiroshima to marry and live with her in-laws in Kure, a military harbor. Her creativity to overcome deprivation quickly makes her indispensable at home. Inhabited by an ancestral wisdom, Suzu impregnates the simple gestures of everyday life with poetry and beauty. The many hardships, the loss of loved ones, the frequent air raids of the enemy, nothing alters her enthusiasm…",2.9856,7.913,621,JP,Japan,"[18, 16, 10749, 10752, 36]",JP,World War II,3,"['world war ii', 'hiroshima', '1943']",overview,,consistent
378184,The Resistance,The Resistance,en,2011-11-10,2011,2010,"　　In 1937, Japan began their invasion of China by murdering over 300,000 people in the capital of Nanjing. The atrocities committed against women and their daughters are especially barbaric. One of them is Xiaoyun, a peasant girl who fights with the Chinese resistance group. On her way to freedom she must fight against Japanese soldiers, ninjas, a killer geisha, Nazis, and the evil General of the Japanese imperial army.",0.2259,8.0,6,US,United States,"[28, 10752, 14]",US,World War II,1,['nazis'],overview,,consistent
378385,Jarhead 3: The Siege,Jarhead 3: The Siege,en,2016-01-20,2016,2010,"Corporal Evan Albright joined the elite Marine Corps Security Guards to save the world and see some action-not necessarily in that order. But his first assignment, protecting a U. S. Embassy in a seemingly safe Middle Eastern capitol, relegates his unit to wrangling ""gate groupies"" protesting outside the compound and honing their marksmanship by playing video games. So Albright and his team are caught off guard when well-armed and well-trained militants launch a surprise attack aimed at killing an informant in the embassy. Heavily out-gunned, they will have to muster all the courage and fire power they can as their once routine assignment spirals into all-out war.",1.3897,6.147,251,US,United States,"[10752, 28, 18]",US,,0,[],,,no_check_needed
378917,Marie's Children,Marie Marmaille,fr,2002-02-18,2002,2000,"During the German occupation of France, a young woman - Marie - finds a Jewish boy in her room. His parents and other Jewish neighbors have been just been deported, but Maurice (the boy) escaped. Marie decides to hide him, secretly.",0.2753,6.714,7,FR,France,"[18, 10770, 10752]",FR,,0,[],,,no_check_needed
379049,Pink Panzer,Pink Panzer,en,1965-09-15,1965,1960,"The next-door neighbor neglects to return the Pink Panther's lawn mower, resulting in a feud that escalates into all-out war.",0.1389,7.333,12,US,United States,"[16, 35, 10751, 10752]",US,,0,[],,,no_check_needed
379215,G.I. Pink,G.I. Pink,en,1968-05-01,1968,1960,The Pink Panther joins the army and angers his sergeant with his usual antics.,0.064,6.111,9,US,United States,"[16, 35, 10751, 10752]",US,,0,[],,,no_check_needed
381023,The Liberators,The Liberators,en,2016-03-11,2016,2010,"Medieval art treasures seized by the Nazis go missing at the end of World War II. Were they destroyed in the chaos of the final battles? Or were these thousand-year-old masterpieces stolen by advancing American troops? For over forty years, the mystery remained unsolved. A true detective story, ""The Liberators"" follows a dogged German art detective through the New York art world and military archives to the unlikeliest of destinations: a small town on the Texas prairie. Featuring interviews with Willi Korte (Portrait of Wally) and Texas attorney Dick DeGuerin, the film raises intriguing questions as to the motivations of the art thief and the whereabouts of the items that, to this day,",0.1135,5.6,5,US,United States,"[99, 36, 10752]",US,World War II,2,"['world war ii', 'nazis']",overview,,consistent
381359,World War Three: Inside the War Room,World War Three: Inside the War Room,en,2016-02-03,2016,2010,"Following the crisis in Ukraine and Russia's involvement in Syria, the world is closer to superpower confrontation than at any time since the end of the Cold War. Now, a war room of senior former British military and diplomatic figures comes together to war-game a hypothetical 'hot war' in eastern Europe, including the unthinkable - nuclear confrontation.",0.2345,7.1,6,US,United States,"[10752, 99]",US,Cold War,1,['cold war'],overview,,consistent
381660,The Eagle of the Pacific,太平洋の鷲,ja,1953-10-21,1953,1950,"Admiral Isoroku Yamamoto, a brilliant tactician, is a loyal subject of the emperor, despite his grave misgivings about leading Japan's navy into war with the United States. He opposes the attack on Pearl Harbor, but, overruled, he leads his forces to the best of his ability.",1.3949,7.8,10,JP,Japan,"[18, 10752]",JP,World War II,1,['pearl harbor'],overview,,consistent
383585,The Yellow Birds,The Yellow Birds,en,2018-05-24,2018,2010,"Two young soldiers, Bartle and Murph, navigate the terrors of the Iraq war under the command of the older, troubled Sergeant Sterling. All the while, Bartle is tortured by a promise he made to Murph's mother before their deployment.",1.3883,6.013,154,US,United States,"[10752, 18]",US,Iraq War,1,['iraq war'],overview,,consistent
384156,No Rest for the Wicked,No Rest for the Wicked,en,1998-01-01,1998,1990,"Father William is an ambitious Catholic priest and former Vietnam veteran sucked into a world of crime, drugs, and duplicity. He investigates the murder of an old army buddy of his which leads him to a mysterious femme fatal, named Angelica. She draws him into a world of surreal weirdness while helping him look for his friend's killers.",0.3094,3.8,5,US,United States,"[28, 53, 10752]",US,Vietnam War,1,['vietnam veteran'],overview,,consistent
384418,"Capitulation, the Final Hours that Ended World War II","8 mai 1945, la capitulation",fr,2005-05-07,2005,2000,"A film made of archives mostly unknown, on the last day of the Second World War in Europe and on the events which preceded it. This film also shows the growing tension between the Allies and the Soviets at the time: May 8, 1945 is also the first day of the Cold War.",0.0853,7.2,8,FR,France,"[99, 10752, 36, 10770]",FR,World War II,1,['second world war'],overview,,consistent
384978,Puppet Master: Axis Termination,Puppet Master: Axis Termination,en,2017-09-15,2017,2010,"To stop the Third Reich and the Nazi war machine from winning World War II and affecting the outcome of the free world, Toulon's indestructible puppets join forces with the masters of psychic powers.",0.4045,4.9,60,US,United States,"[27, 10752]",US,World War II,3,"['world war ii', 'nazi', 'third reich']",overview,,consistent
